domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
fichaje,,GET,"/api/fichaje/records",artifacts/piccolo-tpv/src/pages/fichaje/FichajeIncidencias.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/records",artifacts/piccolo-tpv/src/pages/fichaje/FichajePausas.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/records",artifacts/piccolo-tpv/src/pages/fichaje/FichajeRegistros.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/reports/summary",artifacts/piccolo-tpv/src/pages/fichaje/FichajeCostesLaborales.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/reports/summary",artifacts/piccolo-tpv/src/pages/fichaje/FichajeInformes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/settings",artifacts/piccolo-tpv/src/pages/fichaje/FichajeConfiguracion.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,PUT,"/api/fichaje/settings",artifacts/piccolo-tpv/src/pages/fichaje/FichajeConfiguracion.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,PUT,"/api/fichaje/shifts/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeTurnos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,DELETE,"/api/fichaje/shifts/",artifacts/piccolo-tpv/src/pages/fichaje/FichajeTurnos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/shifts",artifacts/piccolo-tpv/src/pages/fichaje/FichajePlanificacion.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/shifts",artifacts/piccolo-tpv/src/pages/fichaje/FichajePlanificacion.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,POST,"/api/fichaje/shifts",artifacts/piccolo-tpv/src/pages/fichaje/FichajeTurnos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fichaje,,GET,"/api/fichaje/shifts",artifacts/piccolo-tpv/src/pages/fichaje/FichajeTurnos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
fiscal-verifactu,,GET,"/api/admin/verifactu/audit",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
fiscal-verifactu,,GET,"/api/admin/verifactu/chain/verify",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
fiscal-verifactu,useVerifyAdminVerifactuChain,GET,"/api/admin/verifactu/chain/verify",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
fiscal-verifactu,,GET,"/api/admin/verifactu/config",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
fiscal-verifactu,useGetAdminVerifactuConfig,GET,"/api/admin/verifactu/config",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
fiscal-verifactu,,GET,"/api/admin/verifactu/declaracion",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
fiscal-verifactu,,GET,"/api/admin/verifactu/records/",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
fiscal-verifactu,,GET,"/api/admin/verifactu/records/",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-fetch
fiscal-verifactu,useCancelAdminVerifactuRecord,POST,"/api/admin/verifactu/records/${id}/cancel",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
fiscal-verifactu,useRetryAdminVerifactuRecord,POST,"/api/admin/verifactu/records/${id}/retry",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
fiscal-verifactu,useCreateAdminVerifactuRecord,POST,"/api/admin/verifactu/records/${id}/send",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
fiscal-verifactu,,GET,"/api/admin/verifactu/records",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
fiscal-verifactu,useUpdateAdminVerifactuConfig,PUT,"/api/admin/verifactu/records",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
fiscal-verifactu,,GET,"/api/admin/verifactu/status",artifacts/piccolo-tpv/src/pages/verifactu.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
